data;dia;setup;lado;ent;stop_pts;alvo_pts;res;pnl;pnl_rs;barras
2026-08-20 10:08:00;2026-08-20;D;venda;170242,5;92,6;300,0;alvo;196,32327767460265;39,264655534920536;4
2026-08-20 10:17:00;2026-08-20;D;venda;170107,5;95,6;300,0;alvo;197,80827036233313;39,56165407246663;4
2026-08-20 10:34:00;2026-08-20;D;venda;170632,5;104,2;300,0;stop;-104,20349836528608;-20,840699673057216;1
2026-08-20 10:53:00;2026-08-20;D;compra;170760,0;99,7;300,0;alvo;199,83732195489256;39,96746439097851;13
2026-08-20 11:01:00;2026-08-20;D;venda;171210,0;114,3;300,0;alvo;207,16641233619643;41,43328246723929;5
2026-08-20 12:05:00;2026-08-20;D;compra;172367,5;118,6;300,0;stop;-118,6033387795295;-23,7206677559059;2
2026-08-20 13:00:00;2026-08-20;D;venda;171487,5;86,5;300,0;alvo;193,2711475588293;38,65422951176586;5
2026-08-20 14:47:00;2026-08-20;T;compra;170465,0;72,1;300,0;zero;6,153300091682468e-12;1,2306600183364936e-12;8
2026-08-21 09:38:00;2026-08-21;D;compra;171642,5;89,9;300,0;stop;-89,9104064137427;-17,982081282748542;1
2026-08-21 10:06:00;2026-08-21;D;compra;171617,5;97,8;300,0;zero;6,579625733138528e-12;1,3159251466277057e-12;4
2026-08-21 10:16:00;2026-08-21;T;compra;171685,0;104,2;300,0;stop;-104,21022414152458;-20,842044828304918;1
2026-08-21 10:45:00;2026-08-21;D;compra;173112,5;134,8;300,0;zero;-4,007461029686965e-12;-8,014922059373931e-13;2
2026-08-21 11:07:00;2026-08-21;T;venda;173345,0;127,9;300,0;stop;-127,850619868124;-25,570123973624803;2
2026-08-21 11:38:00;2026-08-21;D;compra;173910,0;119,0;300,0;alvo;209,48503791835793;41,89700758367159;7
2026-08-21 11:59:00;2026-08-21;D;compra;173827,5;112,3;300,0;alvo;206,1662390879639;41,23324781759278;3
2026-08-21 14:49:00;2026-08-21;D;compra;173780,0;87,5;300,0;stop;-87,51981174225583;-17,503962348451164;1
2026-08-21 16:45:00;2026-08-21;D;venda;173985,0;79,8;300,0;alvo;189,91534786147355;37,98306957229471;4
2026-08-24 10:01:00;2026-08-24;D;compra;172217,5;97,6;300,0;stop;-97,63690792478943;-19,527381584957887;1
2026-08-24 10:15:00;2026-08-24;D;venda;172605,0;103,4;300,0;alvo;201,67666164249863;40,33533232849973;7
2026-08-24 10:26:00;2026-08-24;D;compra;172185,0;105,6;300,0;stop;-105,62691180720721;-21,125382361441442;1
2026-08-24 10:31:00;2026-08-24;T;compra;172367,5;108,6;300,0;alvo;204,313208274356;40,8626416548712;1
2026-08-24 11:19:00;2026-08-24;D;compra;174095,0;115,8;300,0;alvo;207,8992487255534;41,579849745110685;6
2026-08-24 13:21:00;2026-08-24;D;compra;175372,5;92,7;300,0;zero;-4,305888978706207e-12;-8,611777957412414e-13;9
2026-08-24 14:08:00;2026-08-24;D;venda;175102,5;90,5;300,0;zero;6,600942015211331e-12;1,3201884030422662e-12;3
2026-08-24 14:21:00;2026-08-24;D;compra;174940,0;91,1;300,0;zero;6,821210263296962e-13;1,3642420526593926e-13;5
2026-08-24 16:00:00;2026-08-24;D;venda;175032,5;85,5;300,0;zero;-1,8332002582610585e-12;-3,666400516522117e-13;5
2026-08-24 16:41:00;2026-08-24;T;venda;174905,0;81,0;300,0;alvo;190,51511820402547;38,1030236408051;7
2026-08-25 09:50:00;2026-08-25;D;compra;174355,0;83,2;300,0;stop;-83,20534194379067;-16,641068388758136;1
2026-08-25 10:12:00;2026-08-25;D;venda;174897,5;99,3;300,0;alvo;199,65446107037423;39,930892214074845;5
2026-08-25 10:30:00;2026-08-25;D;compra;174745,0;116,4;300,0;stop;-116,39683201020145;-23,279366402040292;1
2026-08-25 11:00:00;2026-08-25;T;compra;174157,5;112,1;300,0;alvo;206,04103957347616;41,20820791469524;5
2026-08-25 14:05:00;2026-08-25;D;compra;176140,0;77,7;300,0;stop;-77,7375628719893;-15,54751257439786;1
2026-08-25 15:25:00;2026-08-25;T;venda;176505,0;80,3;300,0;alvo;190,12792138926986;38,02558427785397;7
2026-08-26 09:20:00;2026-08-26;T;venda;178597,5;100,1;300,0;stop;-100,10298757740935;-20,02059751548187;1
2026-08-26 10:03:00;2026-08-26;D;compra;177282,5;111,5;300,0;alvo;205,7438993294432;41,14877986588864;3
2026-08-26 10:26:00;2026-08-26;D;compra;178832,5;118,3;300,0;alvo;209,1358585940377;41,82717171880754;2
2026-08-26 10:40:00;2026-08-26;D;venda;178372,5;122,1;300,0;alvo;211,03716319501422;42,207432639002846;6
2026-08-26 11:08:00;2026-08-26;D;compra;178590,0;115,8;300,0;alvo;207,91238238510408;41,58247647702082;2
2026-08-27 11:55:00;2026-08-27;D;compra;177125,0;110,2;300,0;stop;-110,16802236636988;-22,03360447327398;1
2026-08-27 14:00:00;2026-08-27;D;venda;177897,5;82,9;300,0;zero;-3,751665644813329e-12;-7,503331289626659e-13;4
2026-08-27 16:54:00;2026-08-27;T;venda;178040,0;71,1;300,0;alvo;185,57387747874162;37,114775495748326;6
2026-08-28 10:08:00;2026-08-28;D;compra;178517,5;113,0;300,0;alvo;206,48891436065813;41,29778287213163;6
2026-08-28 10:31:00;2026-08-28;D;venda;178337,5;116,8;300,0;alvo;208,37862536399518;41,67572507279904;2
2026-08-28 11:22:00;2026-08-28;D;venda;177447,5;119,2;300,0;alvo;209,58541834038527;41,917083668077055;2
2026-08-28 12:17:00;2026-08-28;D;venda;177180,0;92,3;300,0;alvo;196,13790460682796;39,22758092136559;12
